input_text,label
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 1 [RIGHT_OVER] s\.np > VO 2 [RIGHT_EXT] np Desig DE 0 [OT] 2,2
[LEFT_EXT] s\.np)/.np Desig DE 0 s/.np >T->B OE 1 [LEFT_OVER] np > AHn 1 [RIGHT_OVER] np A/n-> AHn 1 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] np Desig DE 0 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] np A/n-> AHn 1 [RIGHT_EXT]  [OT] 2,2
[LEFT_EXT] np Desig DE 0 [LEFT_OVER] s\.np > VO 2 [RIGHT_OVER] np A/n-> AHn 2 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] s\.np)/.np Desig DE 0 s/.np >T->B OE 1 [LEFT_OVER] np A/n-> AHn 2 [RIGHT_OVER] np A/n-> AHn 1 [RIGHT_EXT]  [OT] 4,0
[LEFT_EXT]  [LEFT_OVER] s/.np >T->B OE 1 [RIGHT_OVER] s\.np > VO 3 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT]  [LEFT_OVER] s\.np > VO 1 [RIGHT_OVER] np < CC 1 [RIGHT_EXT]  [OT] 2,0
[LEFT_EXT]  [LEFT_OVER] s\.np > VO 1 [RIGHT_OVER] np A/n-> AHn 1 [RIGHT_EXT] np/.np Desig DE 0 [OT] 2,0
[LEFT_EXT] s\.np)/.np Desig DE 0 [LEFT_OVER] np A/n-> AHn 1 [RIGHT_OVER] np A/n-Hn/a-> AHn 1 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT]  [LEFT_OVER] s\.np > VO 1 [RIGHT_OVER] np A/n-> AHn 2 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] np Desig DE 0 s\.np > VO 1 [LEFT_OVER] np/*np Ca/a-< HmC 1 [RIGHT_OVER] np/*np < PQ 1 [RIGHT_EXT]  [OT] 2,0
[LEFT_EXT]  [LEFT_OVER] s\.np > VO 1 [RIGHT_OVER] np Cn/a-< HnC 1 [RIGHT_EXT] np/.np Desig DE 0 [OT] 2,2
[LEFT_EXT]  [LEFT_OVER] s\.np > VO 1 [RIGHT_OVER] np Cn/a-< HnC 2 [RIGHT_EXT] np/*np)\*(np/*np) Desig DE 0 [OT] 2,2
[LEFT_EXT]  [LEFT_OVER] s\.np > VO 1 [RIGHT_OVER] np Cn/a-< HnC 3 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] s\.np)/.np Desig DE 0 [LEFT_OVER] np Cn/a-< HnC 1 [RIGHT_OVER] np/*np Ca/a-< HmC 1 [RIGHT_EXT] np/*np)\*(np/*np) Desig DE 0 [OT] 2,1
[LEFT_EXT] s\.np)/.np Desig DE 0 [LEFT_OVER] np Cn/a-< HnC 1 [RIGHT_OVER] np/*np < MQ 2 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] s\.np)/.np Desig DE 0 [LEFT_OVER] np Cn/a-< HnC 1 [RIGHT_OVER] np Cn/a-< HnC 2 [RIGHT_EXT] np/*np)\*(np/*np) Desig DE 0 [OT] 3,2
[LEFT_EXT] s\.np)/.np Desig DE 0 [LEFT_OVER] np Cn/a-< HnC 1 [RIGHT_OVER] np Cn/a-< HnC 3 [RIGHT_EXT]  [OT] 3,1
[LEFT_EXT] s\.np)/.np Desig DE 0 [LEFT_OVER] np Cn/a-< HnC 2 [RIGHT_OVER] np/*np < MQ 2 [RIGHT_EXT]  [OT] 2,1
[LEFT_EXT] s\.np)/.np Desig DE 0 [LEFT_OVER] np Cn/a-< HnC 2 [RIGHT_OVER] np Cn/a-< HnC 3 [RIGHT_EXT]  [OT] 3,1
[LEFT_EXT] s\.np)/.np Desig DE 0 s\.np)/.np >B DHv 1 [LEFT_OVER] s\.np > VO 1 [RIGHT_OVER] np Cn/a-< HnC 1 [RIGHT_EXT] np/*np)\*(np/*np) Desig DE 0 [OT] 2,2
[LEFT_EXT] s\.np)/.np Desig DE 0 s\.np)/.np >B DHv 1 [LEFT_OVER] s\.np > VO 1 [RIGHT_OVER] np Cn/a-< HnC 2 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 2,1
[LEFT_EXT] s\.np)/.np Desig DE 0 [LEFT_OVER] np Cn/a-< HnC 1 [RIGHT_OVER] np/*np < MQ 1 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 2,1
[LEFT_EXT] s\.np)/.np Desig DE 0 [LEFT_OVER] np Cn/a-< HnC 1 [RIGHT_OVER] np Cn/a-< HnC 2 [RIGHT_EXT] np/*np)\*np Desig DE 0 [OT] 3,1
[LEFT_EXT] s\.np)/.np Desig DE 0 s\.np)/.np >B DHv 1 [LEFT_OVER] s\.np > VO 3 [RIGHT_OVER] np/*np < U1P 3 [RIGHT_EXT] np Desig DE 0 [OT] 2,0
[LEFT_EXT]  [LEFT_OVER] s\.np)/.np >B DHv 1 [RIGHT_OVER] s\.np > VO 6 [RIGHT_EXT]  [OT] 2,0
[LEFT_EXT]  [LEFT_OVER] s\.np > VO 7 [RIGHT_OVER] s\.np > VO 6 [RIGHT_EXT]  [OT] 4,0
[LEFT_EXT]  [LEFT_OVER] s/#(s\.np) >T->B PE 1 [RIGHT_OVER] s\.np)/.np >B DHv 1 [RIGHT_EXT] s\.np)/#(s\.np))/*np Desig DE 0 s\.np)/#(s\.np) > PO 1 [OT] 2,1
